Id,Name,Price,Description
1,"З курячим філе, ананасом та моцарелою - 30 см",134 грн.,"тісто, соус, сир, куряче філе, ананас, моцарела"
2,"З салямі, печерицями та болгарським перцем - 30 см",124 грн.,"тісто, соус, сир, салямі, печериці свіжі, перець свіжий"
3,"З шинкою, печерицями та томатами - 30 см",124 грн.,"тісто, соус, сир, шинка, печериці свіжі, помідор"
4,Піца Цезар з лососем,212 грн.,"основа,вершковий соус , лосось с/с, помідори чері, моцарела, сир твердий, мікс салату  , соус Цезар"
5,Піца із запеченим лососем,210 грн.,"основа,вершковий соус, лосось свіжий, помідори чері, моцарела, сир твердий, рукола"
6,Піца 2 сезона,164 грн.,"основа, вершковий соус, шинка, сир твердий, сир лазур, моцарела, фета, печериці, базилік, пармезан, зелень"
7,Піца Селянська,142 грн.,"основа, червоний соус, папероні ,шинка, огірок солений, помідори чері, моцарела, цибуля кримська, зелень"
8,Піца з Унагі,192 грн.,"основа, вершковий соус,сир твердий, бекон, шинка, моцарела, фета, помідори чері, соус унагі, базилік"
9,Піца з Буратою та прошутто,280 грн.,"основа, червоний соус, буррата, моцарела, помідори чері, прошуто, рукола, крем бальзаміко"
10,Піца з помідорами чері та моцарелою,147 грн.,"тісто, соус, сир, шинка, помідори чері, моцарела, зелень, пармезан"
11,Діаболо,140 грн.,"тісто, соус, сир, гостре салямі, перець чилі,  печериці свіжі, зелень, пармезан"
12,Цезар,178 грн.,"тісто, соус, сир, куряче філе, бекон, помідор, мікс салатів, соус ""Цезар"", пармезан"
13,Капрічоза,153 грн.,"тісто, соус, сир, шинка, моцарела, печериці свіжі, каперси, зелень, пармезан"
14,Вегетаріано,136 грн.,"тісто, соус, сир, помідор, печериці свіжі, маслини, перець свіжий, кукурудза, зелень"
15,Маргарита,130 грн.,"тісто, соус, сир, помідор, моцарела, зелень, пармезан"
16,Прошуто,154 грн.,"тісто, соус, сир, моцарела, печериці свіжі, прошуто, зелень,пармезан"
17,Європейська,153 грн.,"тісто, соус, сир, салямі, печериці свіжі, каперси, мисливські ковбаски, зелень, пармезан"
18,Гавайська,167 грн.,"тісто, вершковий соус, сир, куряче філе, ананас, оливки, моцарела, зелень, пармезан"
19,Карбонара,147 грн.,"тісто, вершковий соус, сир, бекон, перепелині яйця, зелень, пармезан"
20,Тонно,170 грн.,"тісто, соус, сир, тунець, цибуля кримська, оливки, каперси, зелень, пармезан"
21,Пепероні,154 грн.,"тісто, соус, сир, ковбаса папероні, моцарелла, базилік"
22,Чотири сири,177 грн.,"тісто, вершковий соус, сир, моцарела, фета, горгонзола, базилік, пармезан"
23,Піца Фрі,189 грн.,"тісто, вершковий соус, сир, картопля фрі,  салямі, моцарела, помідори, зелень, пармезан"
24,Фокачо,35 грн.,""
25,Фокачо з сиром,40 грн.,""
